"SCHOOLID","Public","TCSHORT","STRATIO","STIDSTD","Female","LangAtHome","PARED","HOMEPOS","IMMIG","PV1MATH","cycle"
134,1,0.7142,15.165,4548,1,1,14,0.0766,1,392.1094,5
119,1,-1.0568,21.854,4011,1,0,16,-0.2986,0,496.4091,5
24,1,1.3917,9.232,795,0,1,12,-0.7935,1,427.3952,5
8,1,0.9414,10.13,280,1,1,16,0.2887,1,502.6406,5
41,0,-1.0568,15.484,1344,1,1,16,2.6722,1,505.1332,5
132,1,0.7142,11.5,4474,0,1,9,-1.1003,1,507.47,5
109,1,0.7142,15.2008,3650,1,1,16,-1.2513,1,421.0079,5
151,1,1.3917,18.3026,5120,0,1,16,0.527,1,574.3807,5
127,1,0.166,12.5688,4293,1,1,12,-0.9481,0,517.4404,5
154,1,-1.0568,18.683,5202,1,1,12,1.6531,1,445.155,5
148,1,0.7142,11.313,5002,0,1,16,0.1016,1,477.7146,5
134,1,0.7142,15.165,4538,0,0,16,-0.2986,0,595.49,5
127,1,0.166,12.5688,4302,0,0,9,-0.7935,0,478.4935,5
133,1,0.166,10.531,4520,1,1,12,-1.4025,1,460.578,5
130,1,1.6436,18.4002,4395,0,1,16,0.0766,1,467.6663,5
48,1,0.166,15.868,1583,1,1,12,-0.9481,1,337.8953,5
125,1,-0.249,16.185,4209,1,1,12,-0.1168,1,484.3356,5
123,0,0.7142,9.967,4155,1,1,16,1.6531,1,390.4736,5
106,1,-1.0568,12.9412,3575,0,1,14,-0.9481,1,411.1154,5
165,1,0.166,15.3262,5554,0,1,12,0.0766,1,398.263,5
155,1,-0.249,19.087,5237,1,1,14,1.1543,1,493.6049,5
42,1,0.166,15.795,1374,1,1,12,0.8062,1,464.5506,5
29,1,0.4649,13.849,951,0,1,14,-0.2986,1,449.8286,5
110,1,0.7142,14.061,3693,1,1,12,-0.1168,1,510.43,5
116,1,-0.249,20.579,3899,1,1,9,-1.1003,1,427.8626,5
154,1,-1.0568,18.683,5203,1,1,12,-1.2513,1,478.4935,5
126,1,0.9414,16.2563,4267,1,1,9,-0.1168,1,330.028,5
38,1,-1.0568,16.984,1234,0,1,16,1.6531,1,560.6714,5
140,1,-1.0568,9.52,4756,1,1,14,-0.1168,1,584.5069,5
37,1,-1.0568,15.315,1226,0,1,14,-0.1168,1,318.8113,5
87,1,0.4649,15.426,2904,1,1,16,0.0766,1,350.0467,5
162,1,-0.249,19.1645,5455,1,1,14,-0.2986,1,478.4935,5
150,0,1.6436,17.333,5055,1,1,16,2.6722,1,545.0148,5
7,1,0.166,17.5,219,0,1,16,0.2887,1,604.6814,5
50,1,-1.0568,16.64,1665,0,1,14,-1.7137,1,379.5685,5
80,1,0.4649,23.967,2658,1,0,12,0.2887,0,484.3356,5
19,1,-0.249,25.045,614,1,0,3,-0.6348,0,450.5297,5
151,1,1.3917,18.3026,5115,1,1,12,0.527,1,596.892,5
29,1,0.4649,13.849,955,0,1,14,0.8062,1,488.6197,5
65,1,0.7142,12.634,2166,0,1,12,0.0766,1,386.9684,5
139,1,-0.249,18.49,4725,1,1,12,0.8062,0,543.2232,5
163,1,-0.249,12.959,5485,1,1,12,0.8062,1,599.6183,5
15,1,-1.0568,11.5837,516,1,1,16,-1.1003,1,421.0079,5
129,1,-0.249,13.8,4354,0,1,12,0.0766,1,452.0876,5
137,1,0.9414,12.465,4629,0,1,16,0.0766,1,518.3751,5
54,1,-0.249,18.848,1790,0,1,12,-0.7935,1,437.9888,5
104,1,0.166,25.228,3481,0,0,9,-1.4025,0,494.8512,5
80,1,0.4649,23.967,2677,1,0,16,0.2887,0,405.6629,5
140,1,-1.0568,9.52,4749,1,1,16,-0.6348,1,411.5049,5
34,1,0.4649,15.293,1119,0,1,14,-1.4025,1,438.3783,5
111,1,0.7142,21.864,3742,0,1,12,-1.1003,1,628.8285,5
93,1,0.7142,16.242,3096,0,1,16,0.527,1,454.7359,5
30,1,-1.0568,10.4786,1002,1,1,12,-1.1003,1,436.5088,5
73,1,-0.249,13.449,2412,0,1,12,-0.2986,1,473.041,5
110,1,0.7142,14.061,3713,0,1,16,0.527,1,524.6066,5
36,1,1.1634,15.097,1174,1,1,16,1.1543,1,496.0196,5
138,1,1.1634,16.161,4678,0,0,12,-0.3088,0,394.5241,5
65,1,0.7142,12.634,2168,0,1,16,-0.2986,1,653.365,5
36,1,1.1634,15.097,1179,1,1,12,-0.7935,1,504.1985,5
101,1,0.166,11.031,3394,1,1,14,-1.2513,1,532.6297,5
41,0,-1.0568,15.484,1334,0,1,16,2.6722,1,622.9864,5
10,1,-0.249,16.101,329,1,1,14,-0.2986,1,431.0562,5
82,1,-1.0568,8.75,2730,1,1,14,0.2887,1,579.7554,5
28,1,-1.0568,18.365,912,0,1,12,0.8062,1,648.6914,5
153,1,-1.0568,16.4257,5171,0,1,16,-0.1168,1,476.1567,5
84,1,1.6436,15.248,2796,0,0,14,-0.4704,0,466.42,5
2,1,-0.249,16.424,52,1,1,12,-1.7137,1,342.3353,5
37,1,-1.0568,15.315,1221,1,1,12,-0.4704,1,458.3969,5
54,1,-0.249,18.848,1787,1,1,16,2.3263,1,423.3448,5
81,1,0.4649,14.522,2679,1,1,16,0.0766,1,602.6562,5
125,1,-0.249,16.185,4229,1,1,12,0.0766,1,459.0201,5
100,1,0.7142,17.057,3332,1,1,16,0.2887,1,595.3342,5
53,1,0.166,9.483,1750,0,1,14,-1.5564,1,461.5127,5
43,0,0.9414,11.294,1413,1,1,16,0.8062,1,623.4538,5
132,1,0.7142,11.5,4479,0,1,14,0.2887,1,589.4921,5
120,1,0.9871,14.8339,4047,0,1,14,-0.617,1,369.4423,5
112,1,-1.0568,14.0743,3771,1,0,9,-2.6481,0,457.4622,5
60,1,0.166,11.2166,2000,0,0,14,-0.6348,1,307.2831,5
12,0,-0.249,10.733,397,0,0,16,0.8062,0,638.9547,5
108,1,-1.0568,9.29,3626,1,1,12,-0.2986,1,449.6728,5
91,1,0.7142,23.009,3032,0,1,16,0.0766,1,654.1439,5
146,1,-1.0568,9.8781,4943,1,1,16,2.6722,1,428.6415,5
127,1,0.166,12.5688,4289,0,1,14,-0.1168,1,413.0628,5
153,1,-1.0568,16.4257,5177,0,0,12,-1.7137,0,438.3004,5
114,1,-1.0568,15.374,3840,1,1,16,2.6722,1,530.6823,5
65,1,0.7142,12.634,2154,0,1,12,-0.1168,1,520.5562,5
112,1,-1.0568,14.0743,3782,0,1,12,-0.2986,0,515.4152,5
109,1,0.7142,15.2008,3645,0,1,14,-1.4025,1,396.7051,5
69,1,1.1634,14.83,2295,1,1,12,-0.4704,1,409.3239,5
58,1,0.7142,6.711,1918,0,1,12,-1.7512,1,441.8835,5
82,1,-1.0568,8.75,2737,1,1,14,-1.2513,1,415.3996,5
154,1,-1.0568,18.683,5223,1,1,14,-0.9481,1,561.8399,5
60,1,0.166,11.2166,2012,0,1,16,-0.5035,1,355.4993,5
54,1,-0.249,18.848,1803,1,1,12,2.6722,1,584.429,5
49,1,0.166,16.093,1608,0,1,14,-0.2986,1,405.2734,5
21,1,-0.249,13.981,700,1,1,12,1.6531,1,457.4622,5
1,1,-1.0568,17.636,29,1,1,12,0.0766,1,336.1038,5
100,1,0.7142,17.057,3350,1,1,16,-0.2986,1,603.1235,5
108,1,-1.0568,9.29,3636,1,1,16,-0.9481,1,506.6911,5
99,1,2.2914,23.673,3321,1,1,12,0.527,1,502.0174,5
